Anesthesia,Antibiotics_for_Mother,Induction_of_Labor,Steroids,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
No,Yes,Yes,No,1,27.62,3092.33,11.2,37.72,29.35,333
No,Yes,Yes,No,1,28.26,3039.12,11.46,37.53,29.62,692
No,Yes,Yes,No,1,28.56,3161.73,11.56,38.06,29.42,1674
No,Yes,Yes,No,1,28.69,3259.57,11.55,38.52,28.93,9051
No,Yes,Yes,No,1,29.0,3305.63,11.7,38.91,28.33,77338
No,Yes,Yes,No,1,28.66,3330.06,11.89,39.01,28.23,2020
No,Yes,No,Yes,0,28.59,1159.28,5.28,27.28,28.33,90
No,Yes,No,Yes,0,28.05,862.59,5.77,25.29,28.84,572
No,Yes,No,Yes,0,28.76,1023.2,5.92,26.26,28.77,403
No,Yes,No,Yes,0,28.39,1119.79,6.41,27.13,28.44,478
No,Yes,No,Yes,0,28.35,1250.75,6.51,27.66,29.1,615
No,Yes,No,Yes,1,28.36,1300.58,7.06,28.22,28.58,949
No,Yes,No,Yes,1,28.68,1349.06,6.91,28.56,28.04,1616
No,Yes,No,Yes,1,28.71,1526.93,7.49,29.64,28.06,2979
No,Yes,No,Yes,1,28.89,1857.03,8.12,31.59,27.55,6678
No,Yes,No,Yes,1,28.81,2289.23,8.94,33.85,26.76,16085
No,Yes,No,Yes,1,27.57,2505.07,9.9,34.93,26.94,228
No,Yes,No,No,0,28.31,1568.59,6.27,28.02,27.73,352
No,Yes,No,No,0,28.23,918.14,5.41,24.3,29.38,1451
No,Yes,No,No,0,28.23,1625.06,7.05,28.8,28.53,853
No,Yes,No,No,0,28.02,2032.76,7.88,31.65,28.81,862
No,Yes,No,No,0,28.53,2228.79,8.32,33.13,28.26,933
No,Yes,No,No,1,28.62,2420.21,8.73,34.0,28.3,1537
No,Yes,No,No,1,28.51,2562.41,9.1,34.87,28.11,2805
No,Yes,No,No,1,28.77,2773.71,9.41,35.83,27.81,6171
No,Yes,No,No,1,28.76,3104.05,10.04,37.51,27.17,31597
No,Yes,No,No,1,28.89,3260.54,10.55,38.45,26.52,266409
No,Yes,No,No,1,28.72,3311.48,10.68,38.72,26.02,7992
No,No,Yes,Yes,0,29.0,1676.67,10.33,30.67,25.45,3
No,No,Yes,Yes,0,27.42,1265.25,8.75,28.46,29.99,26
No,No,Yes,Yes,0,28.23,1283.18,7.05,28.14,27.91,22
No,No,Yes,Yes,0,28.08,1765.58,10.13,31.5,28.83,24
No,No,Yes,Yes,0,28.38,2109.26,8.61,32.85,25.97,34
No,No,Yes,Yes,1,27.78,1915.51,9.4,32.49,28.38,68
No,No,Yes,Yes,1,29.53,2148.37,8.93,33.61,29.75,86
No,No,Yes,Yes,1,28.57,2145.44,9.58,33.82,28.64,261
No,No,Yes,Yes,1,28.7,2348.22,10.44,34.86,28.42,838
No,No,Yes,Yes,1,28.85,2647.52,11.2,36.24,27.65,3958
No,No,Yes,Yes,1,28.89,2835.03,12.0,36.74,27.96,70
No,No,Yes,No,0,30.02,1995.69,7.7,30.04,27.63,135
No,No,Yes,No,0,28.78,1241.2,6.28,25.4,28.91,863
No,No,Yes,No,0,28.5,2371.8,9.04,32.76,28.7,511
No,No,Yes,No,0,28.33,2902.4,10.7,36.56,28.66,503
No,No,Yes,No,0,28.88,3171.31,11.68,38.21,28.88,622
No,No,Yes,No,1,28.26,3212.04,11.87,38.42,28.71,1058
No,No,Yes,No,1,27.98,3223.14,11.44,38.45,28.52,1988
No,No,Yes,No,1,28.52,3271.45,11.81,38.59,28.59,5548
No,No,Yes,No,1,28.48,3340.14,11.72,38.91,27.95,34951
No,No,Yes,No,1,28.89,3349.64,11.81,39.12,27.45,297137
No,No,Yes,No,1,28.39,3379.87,11.79,39.22,27.31,8705
No,No,No,Yes,0,27.29,1260.11,6.99,27.25,29.45,92
No,No,No,Yes,0,29.16,1004.69,6.7,26.49,29.41,518
No,No,No,Yes,0,29.16,1222.87,7.32,28.0,29.64,385
No,No,No,Yes,0,29.38,1347.18,7.64,28.82,29.19,519
No,No,No,Yes,0,29.18,1386.89,7.71,29.01,28.87,637
No,No,No,Yes,1,29.69,1466.71,7.84,29.67,28.85,1044
No,No,No,Yes,1,29.75,1517.29,8.24,29.89,28.88,1820
No,No,No,Yes,1,29.45,1662.04,8.37,30.74,28.65,3230
No,No,No,Yes,1,29.83,1988.92,9.37,32.54,28.4,7968
No,No,No,Yes,1,29.59,2456.49,10.34,34.94,27.38,22158
No,No,No,Yes,1,28.8,2729.21,11.27,36.13,26.16,342
No,No,No,No,0,28.31,1988.2,6.28,30.5,27.72,2215
No,No,No,No,0,28.13,1055.47,5.38,24.79,28.84,7775
No,No,No,No,0,28.21,1732.39,7.02,29.23,28.61,4275
No,No,No,No,0,28.58,2169.04,8.13,32.33,28.18,3780
No,No,No,No,0,28.64,2485.44,8.96,34.41,27.79,4711
No,No,No,No,1,28.78,2672.53,9.26,35.52,27.53,8004
No,No,No,No,1,28.91,2799.53,9.64,36.08,27.73,13622
No,No,No,No,1,28.91,2979.11,10.02,36.94,27.41,35079
No,No,No,No,1,28.89,3227.17,10.56,38.17,26.86,205805
No,No,No,No,1,29.14,3314.2,10.88,38.71,26.34,1720188
No,No,No,No,1,29.58,3449.87,10.32,39.26,25.24,96755
