Mother_Education,Mother_Weight_Gain,Pre-pregnancy_Diabetes,Pre-pregnancy_Hypertension,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI
8th grade or less,0 lbs,Yes,Yes,0,36,830,3,24,45.2
8th grade or less,0 lbs,Yes,Yes,1,39,791,0,23,32.4
8th grade or less,0 lbs,Yes,Yes,1,36,3560,20,37,38.6
8th grade or less,0 lbs,Yes,Yes,1,35.17,2890.83,9.33,36.67,37.95
8th grade or less,0 lbs,Yes,Yes,1,36.04,3041.73,15.58,38.08,39.78
9th through 12th grade with no diploma,0 lbs,Yes,Yes,0,37,454,11,24,33.1
9th through 12th grade with no diploma,0 lbs,Yes,Yes,0,41,404,6,21,33.4
9th through 12th grade with no diploma,0 lbs,Yes,Yes,0,37.5,2809,23.5,36,40.2
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32,1960.6,12.75,33.8,45.68
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32.33,1591.78,13,29.67,37.64
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,36,2846.38,8.25,34.25,44.15
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32.68,2871.24,12.11,35.92,41.99
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32.37,2996.04,11.81,36.89,43.01
High school graduate or GED completed,0 lbs,Yes,Yes,0,39,539,20,25,26.7
High school graduate or GED completed,0 lbs,Yes,Yes,0,27.5,552.71,6,22.88,46.99
High school graduate or GED completed,0 lbs,Yes,Yes,0,31.25,871.75,8.25,24.75,43.1
High school graduate or GED completed,0 lbs,Yes,Yes,0,30.25,1727.25,5.25,28.75,39.45
High school graduate or GED completed,0 lbs,Yes,Yes,0,26,2860.5,7,36.5,50.85
High school graduate or GED completed,0 lbs,Yes,Yes,1,32.88,2746.38,12.62,33.86,41.86
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.77,2293.46,10.69,33.85,40.17
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.6,2281.16,10.45,32.48,39.61
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.68,2890.15,13.01,35.84,43.95
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.47,3056.52,13.17,37.03,42.46
High school graduate or GED completed,0 lbs,Yes,Yes,1,29.25,3368.75,15.5,38.75,43.45
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,34.25,1662.5,6.75,23.25,43.77
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,35.33,955.33,3.67,27,37.83
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,30.5,1331,10.5,29,48.4
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,29.6,1661,11.8,31,35.58
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,30.43,2245,15.43,33,42.56
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,32.75,2258,9.5,32.12,38.98
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,31.73,2709.65,10.56,34.42,43.15
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,32.57,2752.99,12.23,35.44,41.59
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,33.02,3059.43,14.26,37,43.2
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,28.6,3297.6,14.8,37.2,40.98
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,32.33,2188,20.33,34.67,38.43
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,38,1941,19,32.5,37.55
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,35.78,3235.44,10.11,36.75,42.69
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,34.14,2790.14,11.79,35.45,39.82
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,34.23,2972.16,13.85,37.05,42.86
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,35,2552,12,37,34
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,0,37,610,5,22,52
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,29,1580,5,29,43.9
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,36,3228,10.5,32.5,38.85
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,33.12,2319.12,12.5,33.62,42.07
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,33.72,3003.52,13.44,35.92,42
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,34.1,2938.36,14.39,36.85,42.17
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,33.33,2648,11,36,39.33
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,0,40,1990,7,33,51.9
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,40,2922.4,18,36.8,43.4
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,33.86,2786.86,14.86,35.29,39.6
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,34.82,2992.76,15.06,37,42.22
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,35.5,3256.5,10,38.5,29.85
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0 lbs,Yes,Yes,0,38,350,3,25,41.7
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0 lbs,Yes,Yes,1,39,1900,10,35,33.9
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0 lbs,Yes,Yes,1,41,1635,26,31.5,44
8th grade or less,1 lbs,Yes,Yes,1,38,3246,23,39,37.8
8th grade or less,1 lbs,Yes,Yes,1,34.25,2904.75,14.5,36.25,35.67
9th through 12th grade with no diploma,1 lbs,Yes,Yes,0,32,590,0,27,23.2
9th through 12th grade with no diploma,1 lbs,Yes,Yes,1,42,1490,14,29,31
9th through 12th grade with no diploma,1 lbs,Yes,Yes,1,35,2885.14,13.33,34.86,39.87
9th through 12th grade with no diploma,1 lbs,Yes,Yes,1,32.86,3308.43,13.69,37.14,39.74
High school graduate or GED completed,1 lbs,Yes,Yes,0,31,1140,6,27,44.5
High school graduate or GED completed,1 lbs,Yes,Yes,0,29,2900,10,38,34.2
High school graduate or GED completed,1 lbs,Yes,Yes,1,29,2885,5,36,62.3
High school graduate or GED completed,1 lbs,Yes,Yes,1,24,3712,16,39,41.6
High school graduate or GED completed,1 lbs,Yes,Yes,1,33.43,2740.43,14.29,35.71,39.86
High school graduate or GED completed,1 lbs,Yes,Yes,1,31.5,3333.79,14.25,37.46,40.98
"Some college credit, but not a degree",1 lbs,Yes,Yes,0,41,440,8,23,42.4
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,26,2220,14,36,30.1
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,30,1615,8,29.5,50.7
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,31,2890,15,39,34.1
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,33.75,2747.5,12,33,40.4
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,32.22,3210.67,11.56,36.56,43.64
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,39,4977,18,37,43.7
"Associate degree (AA, AS)",1 lbs,Yes,Yes,0,36,4293,10,35,39.3
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,29,4277,19,38,48.3
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,30,4265,13,37,36.3
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,32,1532.5,16,33,38.6
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,33.25,3110.38,14.62,37.25,42.62
"Bachelor's degree (BA, AB, BS)",1 lbs,Yes,Yes,1,24,2410,20,36,37.2
"Bachelor's degree (BA, AB, BS)",1 lbs,Yes,Yes,1,34.5,3051.64,14.86,37,39.48
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,32,2655,20,37,47.3
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,37,2670,8,36,50.8
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,40,3220,16,36.4,41.04
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,29,2268,14,37,41.7
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1 lbs,Yes,Yes,1,34,2890,12,37,42.6
8th grade or less,2 lbs,Yes,Yes,1,39,3370,12,37,28.8
8th grade or less,2 lbs,Yes,Yes,1,33,2859.5,24,38,32.6
9th through 12th grade with no diploma,2 lbs,Yes,Yes,0,35,1559,6,34,38.4
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,23,2252.5,11,33,38.9
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,39,2015,5,32,38.3
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,35.25,3312.5,12.25,37,45.4
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,32.73,3136,13,37.47,38
High school graduate or GED completed,2 lbs,Yes,Yes,0,34.5,440.5,6.5,22.5,38.9
High school graduate or GED completed,2 lbs,Yes,Yes,0,36.67,2419.33,11.33,35.33,38.33
High school graduate or GED completed,2 lbs,Yes,Yes,0,33,3405,8,36,50.1
High school graduate or GED completed,2 lbs,Yes,Yes,1,22,630,10,25,51.3
High school graduate or GED completed,2 lbs,Yes,Yes,1,31.5,3056.5,11.5,34,56.5
High school graduate or GED completed,2 lbs,Yes,Yes,1,30.07,2442.64,13.5,35.64,36.42
High school graduate or GED completed,2 lbs,Yes,Yes,1,32.22,3265.44,15.19,37.25,39.81
"Some college credit, but not a degree",2 lbs,Yes,Yes,0,32,750,10,26,46.3
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,28,1449,10,30,49.9
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,28,1511,10,30,49.9
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,32.38,2411.62,13.62,34.25,38.01
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,30,2694.33,12.67,35.22,38.62
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,33.58,3383.42,16.12,36.83,43.21
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,20,2620,8,39,49.9
"Associate degree (AA, AS)",2 lbs,Yes,Yes,1,32.33,2562.67,19,36.33,41.27
"Associate degree (AA, AS)",2 lbs,Yes,Yes,1,34.12,2948.88,15.38,36.12,37.81
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,32,2980,20,37,57.3
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,35.5,4205,10,37.5,46
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,34.86,2240.71,12.29,33.71,34.4
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,34.52,3109.81,12.8,37.1,38.32
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2 lbs,Yes,Yes,1,32,4210,26,39,37.3
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2 lbs,Yes,Yes,1,39.33,3691.67,14,38,40.07
8th grade or less,3 lbs,Yes,Yes,0,33,450,3,21,29.3
8th grade or less,3 lbs,Yes,Yes,1,36.5,3242.5,15.5,37.5,29.15
8th grade or less,3 lbs,Yes,Yes,1,36.67,3177.67,14.67,37.33,40.13
9th through 12th grade with no diploma,3 lbs,Yes,Yes,0,21,2280,10,33,41.6
9th through 12th grade with no diploma,3 lbs,Yes,Yes,1,36,1020,7,25,45.7
9th through 12th grade with no diploma,3 lbs,Yes,Yes,1,32.67,2930.67,13.33,36.67,44.67
9th through 12th grade with no diploma,3 lbs,Yes,Yes,1,33.2,3146.05,10.25,37.45,41.46
High school graduate or GED completed,3 lbs,Yes,Yes,0,34.5,1343,9,29,40.85
High school graduate or GED completed,3 lbs,Yes,Yes,0,38,2342,18,36,38.6
High school graduate or GED completed,3 lbs,Yes,Yes,1,34.5,1910.5,5.5,34,46.8
High school graduate or GED completed,3 lbs,Yes,Yes,1,35,970,14,29,45.2
High school graduate or GED completed,3 lbs,Yes,Yes,1,34,2328.4,14.8,33.6,39.46
High school graduate or GED completed,3 lbs,Yes,Yes,1,32.44,3093.56,14.33,37.11,41.46
High school graduate or GED completed,3 lbs,Yes,Yes,1,32.69,2968.19,13.03,36.69,40.2
"Some college credit, but not a degree",3 lbs,Yes,Yes,0,31,1800,15,31,31.7
"Some college credit, but not a degree",3 lbs,Yes,Yes,1,30,737,11,26,40.7
"Some college credit, but not a degree",3 lbs,Yes,Yes,1,38.33,3036.67,16,36,42.2
"Some college credit, but not a degree",3 lbs,Yes,Yes,1,31.75,2882.12,14.88,35.88,38.24
"Some college credit, but not a degree",3 lbs,Yes,Yes,1,32.44,3036.24,17.92,37.2,37.83
"Some college credit, but not a degree",3 lbs,Yes,Yes,1,40,4130,12,38,43
"Associate degree (AA, AS)",3 lbs,Yes,Yes,0,26,227,3,19,37.9
"Associate degree (AA, AS)",3 lbs,Yes,Yes,1,36,1050,23,28,43.5
"Associate degree (AA, AS)",3 lbs,Yes,Yes,1,35,4071.67,20.33,37.67,45.93
"Associate degree (AA, AS)",3 lbs,Yes,Yes,1,34.78,2833.22,12.89,36,37.49
"Associate degree (AA, AS)",3 lbs,Yes,Yes,1,38,3203,15,38,39.5
"Bachelor's degree (BA, AB, BS)",3 lbs,Yes,Yes,0,29,270,11,19,42.9
"Bachelor's degree (BA, AB, BS)",3 lbs,Yes,Yes,1,38,610,7,27,23.2
"Bachelor's degree (BA, AB, BS)",3 lbs,Yes,Yes,1,33.5,3580.5,13,38,36.15
"Bachelor's degree (BA, AB, BS)",3 lbs,Yes,Yes,1,34,3021.33,17.75,37.08,41.96
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3 lbs,Yes,Yes,0,35,530,7,22,50.2
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3 lbs,Yes,Yes,1,41,3175,18,38,39.8
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3 lbs,Yes,Yes,1,42,1150,13,31,39.6
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3 lbs,Yes,Yes,1,37.8,2851,12.2,36.6,34.94
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3 lbs,Yes,Yes,1,36,3685,12,38,37.4
8th grade or less,4 lbs,Yes,Yes,1,36,762.5,12,24,36.6
8th grade or less,4 lbs,Yes,Yes,1,30,1276,31,31,34.3
8th grade or less,4 lbs,Yes,Yes,1,41.29,2740.29,16.71,35,33.19
8th grade or less,4 lbs,Yes,Yes,1,38,3118,14,39,34.8
9th through 12th grade with no diploma,4 lbs,Yes,Yes,1,33.5,1940,12.5,35,43.1
9th through 12th grade with no diploma,4 lbs,Yes,Yes,1,30.57,2385,11.86,34.71,45.7
9th through 12th grade with no diploma,4 lbs,Yes,Yes,1,30.88,2871.19,11.56,36.44,37.77
High school graduate or GED completed,4 lbs,Yes,Yes,0,33,303,9,21.5,43.85
High school graduate or GED completed,4 lbs,Yes,Yes,1,37,1162,2,26,42.2
High school graduate or GED completed,4 lbs,Yes,Yes,1,24,650,0,24,36.6
High school graduate or GED completed,4 lbs,Yes,Yes,1,30.22,2471,7.89,33.56,40.11
High school graduate or GED completed,4 lbs,Yes,Yes,1,33.22,2819.33,15.22,34.56,39.04
High school graduate or GED completed,4 lbs,Yes,Yes,1,31.88,2976.74,13.14,36.91,40.22
High school graduate or GED completed,4 lbs,Yes,Yes,1,32,2749,10,39,30.8
"Some college credit, but not a degree",4 lbs,Yes,Yes,0,30,3487,21,30,52.5
"Some college credit, but not a degree",4 lbs,Yes,Yes,0,35,1730,10,30,41.2
"Some college credit, but not a degree",4 lbs,Yes,Yes,0,32,992.5,8,27.5,44.55
"Some college credit, but not a degree",4 lbs,Yes,Yes,1,28,1839.67,9.33,29.67,42.7
"Some college credit, but not a degree",4 lbs,Yes,Yes,1,35,475,6,23,44.1
"Some college credit, but not a degree",4 lbs,Yes,Yes,1,33.86,2653.86,10.14,34.14,40.87
"Some college credit, but not a degree",4 lbs,Yes,Yes,1,31,2317.64,13.5,34.21,39.04
"Some college credit, but not a degree",4 lbs,Yes,Yes,1,33.29,2968.67,11.88,37.17,41.46
"Associate degree (AA, AS)",4 lbs,Yes,Yes,1,34.5,2882,13,36.5,44.8
"Associate degree (AA, AS)",4 lbs,Yes,Yes,1,35.25,2012.75,9,32.5,38.97
"Associate degree (AA, AS)",4 lbs,Yes,Yes,1,33.05,3173.16,15.72,37.05,39.95
"Bachelor's degree (BA, AB, BS)",4 lbs,Yes,Yes,1,25,2478,17,35,48.1
"Bachelor's degree (BA, AB, BS)",4 lbs,Yes,Yes,1,42,660,12,26,37.1
"Bachelor's degree (BA, AB, BS)",4 lbs,Yes,Yes,1,28,2455,16,35,52.65
"Bachelor's degree (BA, AB, BS)",4 lbs,Yes,Yes,1,32.83,2640.5,14.17,37,43.98
"Bachelor's degree (BA, AB, BS)",4 lbs,Yes,Yes,1,33.88,3082,15.44,37,37.53
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4 lbs,Yes,Yes,1,35,3431,10,35,43.3
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4 lbs,Yes,Yes,1,37.5,3092,19,37.12,38.45
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4 lbs,Yes,Yes,1,38,3295.5,12,35.5,43.65
8th grade or less,5 lbs,Yes,Yes,1,28,4082,15,36,31.8
8th grade or less,5 lbs,Yes,Yes,1,30,2612.33,10.33,35.67,39.33
8th grade or less,5 lbs,Yes,Yes,1,41.83,3427.17,14.83,38,33.6
9th through 12th grade with no diploma,5 lbs,Yes,Yes,0,36,2273,5.5,32.5,39.45
9th through 12th grade with no diploma,5 lbs,Yes,Yes,0,38,1729,6,34,40.3
9th through 12th grade with no diploma,5 lbs,Yes,Yes,0,36,1134,9,31,39.1
9th through 12th grade with no diploma,5 lbs,Yes,Yes,1,23,2680,15,39,48.2
9th through 12th grade with no diploma,5 lbs,Yes,Yes,1,30,2336,10,32.5,38.45
9th through 12th grade with no diploma,5 lbs,Yes,Yes,1,26.33,2190,11.67,34,42.33
9th through 12th grade with no diploma,5 lbs,Yes,Yes,1,32.4,2975.67,9.93,36.93,38.15
High school graduate or GED completed,5 lbs,Yes,Yes,0,41,580,12,22,54.6
High school graduate or GED completed,5 lbs,Yes,Yes,0,33,397,3,22,39.5
High school graduate or GED completed,5 lbs,Yes,Yes,0,41,1531,0,28,27.3
High school graduate or GED completed,5 lbs,Yes,Yes,0,36.67,2353,7.67,31.67,41.83
High school graduate or GED completed,5 lbs,Yes,Yes,1,38,822,6,25,54.4
High school graduate or GED completed,5 lbs,Yes,Yes,1,28,3440,40,38,53.5
High school graduate or GED completed,5 lbs,Yes,Yes,1,33.5,2610,11,34.5,33.45
High school graduate or GED completed,5 lbs,Yes,Yes,1,32.07,2760.93,10.07,34.64,44.89
High school graduate or GED completed,5 lbs,Yes,Yes,1,31.59,3054.17,12.87,36.93,39.65
"Some college credit, but not a degree",5 lbs,Yes,Yes,1,33,410,6,25,43.4
"Some college credit, but not a degree",5 lbs,Yes,Yes,1,33.5,2325,11.5,30.5,51.3
"Some college credit, but not a degree",5 lbs,Yes,Yes,1,31.2,1849.4,16.4,31.8,41.32
"Some college credit, but not a degree",5 lbs,Yes,Yes,1,32.5,2549.67,14,36.17,38.13
"Some college credit, but not a degree",5 lbs,Yes,Yes,1,31.9,3163.56,14.95,37.13,39.1
"Associate degree (AA, AS)",5 lbs,Yes,Yes,0,31,3675,12,38,48.4
"Associate degree (AA, AS)",5 lbs,Yes,Yes,1,36,640,4,25,25.6
"Associate degree (AA, AS)",5 lbs,Yes,Yes,1,28.5,3029.25,9.5,35.75,37.3
"Associate degree (AA, AS)",5 lbs,Yes,Yes,1,34.54,3143.54,14.75,36.69,39.43
"Bachelor's degree (BA, AB, BS)",5 lbs,Yes,Yes,0,29,4451,15,38,60.2
"Bachelor's degree (BA, AB, BS)",5 lbs,Yes,Yes,1,35,4130,19,36,36.3
"Bachelor's degree (BA, AB, BS)",5 lbs,Yes,Yes,1,26,2420,30,34,36.6
"Bachelor's degree (BA, AB, BS)",5 lbs,Yes,Yes,1,33.38,2803.25,13.25,35.5,43.32
"Bachelor's degree (BA, AB, BS)",5 lbs,Yes,Yes,1,36.04,3107.17,13.14,37.22,38
"Bachelor's degree (BA, AB, BS)",5 lbs,Yes,Yes,1,32,3270,17,37,24.6
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5 lbs,Yes,Yes,1,32,3289,13,38,37
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5 lbs,Yes,Yes,1,37,3261.67,10,37.33,36.27
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5 lbs,Yes,Yes,1,35.21,2792.07,17,37.5,39.65
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5 lbs,Yes,Yes,1,38,2358,10.5,34.5,34.6
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5 lbs,Yes,Yes,1,40.5,2875,14.5,36.5,32.55
8th grade or less,6 lbs,Yes,Yes,1,42,3895,10,35,34.7
8th grade or less,6 lbs,Yes,Yes,1,36.29,3019.86,16.14,37.57,33.7
9th through 12th grade with no diploma,6 lbs,Yes,Yes,0,31,1240,3,29,26.4
9th through 12th grade with no diploma,6 lbs,Yes,Yes,0,35,312,5,23,32.9
9th through 12th grade with no diploma,6 lbs,Yes,Yes,1,21,2243.5,7,29.5,47
9th through 12th grade with no diploma,6 lbs,Yes,Yes,1,37,660,9,24,55.2
9th through 12th grade with no diploma,6 lbs,Yes,Yes,1,28.5,2339.25,7.5,32.75,33
9th through 12th grade with no diploma,6 lbs,Yes,Yes,1,30,3115.83,11.61,37.17,42.11
High school graduate or GED completed,6 lbs,Yes,Yes,0,25,369,3,22,23.2
High school graduate or GED completed,6 lbs,Yes,Yes,0,34,3280,21,35,53.2
High school graduate or GED completed,6 lbs,Yes,Yes,0,29,992,7,26,46
High school graduate or GED completed,6 lbs,Yes,Yes,1,20,3289,7,37,26.8
High school graduate or GED completed,6 lbs,Yes,Yes,1,34.4,1974.8,11.8,32.4,37.72
High school graduate or GED completed,6 lbs,Yes,Yes,1,34.5,2611.25,11.17,33.67,36.15
High school graduate or GED completed,6 lbs,Yes,Yes,1,32.23,2910.57,13.33,36.64,39.03
"Some college credit, but not a degree",6 lbs,Yes,Yes,0,31.67,306,7.33,20.33,31.2
"Some college credit, but not a degree",6 lbs,Yes,Yes,0,36,510,15,26,34.7
"Some college credit, but not a degree",6 lbs,Yes,Yes,0,37,1640,8,28,40.7
"Some college credit, but not a degree",6 lbs,Yes,Yes,1,28,3884,9,37,36.8
"Some college credit, but not a degree",6 lbs,Yes,Yes,1,30.5,3055.88,11.62,36.5,41.38
"Some college credit, but not a degree",6 lbs,Yes,Yes,1,33.08,2956.33,14.64,36.38,41.26
"Associate degree (AA, AS)",6 lbs,Yes,Yes,1,41,2640,12,37.5,46.15
"Associate degree (AA, AS)",6 lbs,Yes,Yes,1,41,3980,12,38,30.7
"Associate degree (AA, AS)",6 lbs,Yes,Yes,1,31.5,2949,13.5,35.75,36.77
"Associate degree (AA, AS)",6 lbs,Yes,Yes,1,36.17,3542.83,12.67,37.17,43.03
"Associate degree (AA, AS)",6 lbs,Yes,Yes,1,33.37,3103.37,13.89,37.32,39.27
"Bachelor's degree (BA, AB, BS)",6 lbs,Yes,Yes,0,33,3997,9,37,46.3
"Bachelor's degree (BA, AB, BS)",6 lbs,Yes,Yes,1,38,1880,30,36,35.7
"Bachelor's degree (BA, AB, BS)",6 lbs,Yes,Yes,1,34,2735.33,15,34.67,40.47
"Bachelor's degree (BA, AB, BS)",6 lbs,Yes,Yes,1,37,2421,17,37,44.1
"Bachelor's degree (BA, AB, BS)",6 lbs,Yes,Yes,1,33.25,2884.06,15.25,37.06,36.45
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6 lbs,Yes,Yes,1,38,400,7,22,35.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6 lbs,Yes,Yes,1,40.5,2107.5,10.5,32.5,38.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6 lbs,Yes,Yes,1,28,2930,10.5,36.5,49.45
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6 lbs,Yes,Yes,1,34.11,3053.22,15.5,37.22,40.47
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6 lbs,Yes,Yes,1,39,3695,13,37,46.4
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,Yes,Yes,1,33,3033,13,39,41.8
8th grade or less,7 lbs,Yes,Yes,1,36,3459,11,36,43
8th grade or less,7 lbs,Yes,Yes,1,37.5,3163.25,15.75,37.5,35.77
8th grade or less,7 lbs,Yes,Yes,1,37.86,2852.57,13.43,37.43,36.51
9th through 12th grade with no diploma,7 lbs,Yes,Yes,0,41,790,6,26,39.5
9th through 12th grade with no diploma,7 lbs,Yes,Yes,1,27,2295,18,38,32.1
9th through 12th grade with no diploma,7 lbs,Yes,Yes,1,33,4784,4,40,39.6
9th through 12th grade with no diploma,7 lbs,Yes,Yes,1,42,2925,3.5,36.33,42.37
9th through 12th grade with no diploma,7 lbs,Yes,Yes,1,32.75,2679,14.25,35.75,46.12
9th through 12th grade with no diploma,7 lbs,Yes,Yes,1,34.1,2756.15,11.1,35.1,37.64
High school graduate or GED completed,7 lbs,Yes,Yes,0,30,2980,15,34,53.1
High school graduate or GED completed,7 lbs,Yes,Yes,0,39,3110,16,37,39.5
High school graduate or GED completed,7 lbs,Yes,Yes,1,35,965,5,28,32.2
High school graduate or GED completed,7 lbs,Yes,Yes,1,26.5,2488.5,13.5,33.5,30.55
High school graduate or GED completed,7 lbs,Yes,Yes,1,30.83,2805.17,11.17,35,44.5
High school graduate or GED completed,7 lbs,Yes,Yes,1,32.1,2356.1,11.56,34.6,39.46
High school graduate or GED completed,7 lbs,Yes,Yes,1,31.11,3111.98,13.74,37.02,39.91
"Some college credit, but not a degree",7 lbs,Yes,Yes,0,34,3005,4,38,40.7
"Some college credit, but not a degree",7 lbs,Yes,Yes,0,24,2920,7,34,33.3
"Some college credit, but not a degree",7 lbs,Yes,Yes,1,37,2070,6,32,53.2
"Some college credit, but not a degree",7 lbs,Yes,Yes,1,29,1983.5,20,33.5,41.15
"Some college credit, but not a degree",7 lbs,Yes,Yes,1,33,2860.2,15.2,35.8,44.22
"Some college credit, but not a degree",7 lbs,Yes,Yes,1,32.28,3017.17,15.15,36.43,39.38
"Associate degree (AA, AS)",7 lbs,Yes,Yes,1,41,4050,13,38,31.6
"Associate degree (AA, AS)",7 lbs,Yes,Yes,1,36,2840,7,39,33.3
"Associate degree (AA, AS)",7 lbs,Yes,Yes,1,32,1030,10,27,43.1
"Associate degree (AA, AS)",7 lbs,Yes,Yes,1,30.83,2343.5,9.83,33.67,37.77
"Associate degree (AA, AS)",7 lbs,Yes,Yes,1,34.83,3014.75,15.36,36.08,35.78
"Bachelor's degree (BA, AB, BS)",7 lbs,Yes,Yes,0,30,1030,5,27,32.6
"Bachelor's degree (BA, AB, BS)",7 lbs,Yes,Yes,1,39,539,5,25,42.5
"Bachelor's degree (BA, AB, BS)",7 lbs,Yes,Yes,1,34.12,2738.38,11.5,34.5,38.62
