Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0400000US39,39,Ohio,0500000US39137,39137,Ohio - Putnam County,Putnam County,61161,2028
0400000US39,39,Ohio,0500000US39139,39139,Ohio - Richland County,Richland County,44138,1267
0400000US39,39,Ohio,0500000US39141,39141,Ohio - Ross County,Ross County,45792,2053
0400000US39,39,Ohio,0500000US39143,39143,Ohio - Sandusky County,Sandusky County,50370,1439
0400000US39,39,Ohio,0500000US39145,39145,Ohio - Scioto County,Scioto County,38978,1851
0400000US39,39,Ohio,0500000US39147,39147,Ohio - Seneca County,Seneca County,49153,1729
0400000US39,39,Ohio,0500000US39149,39149,Ohio - Shelby County,Shelby County,57673,2610
0400000US39,39,Ohio,0500000US39151,39151,Ohio - Stark County,Stark County,50117,834
0400000US39,39,Ohio,0500000US39153,39153,Ohio - Summit County,Summit County,53291,806
0400000US39,39,Ohio,0500000US39155,39155,Ohio - Trumbull County,Trumbull County,45380,778
0400000US39,39,Ohio,0500000US39157,39157,Ohio - Tuscarawas County,Tuscarawas County,49460,2069
0400000US39,39,Ohio,0500000US39159,39159,Ohio - Union County,Union County,78848,3468
0400000US39,39,Ohio,0500000US39161,39161,Ohio - Van Wert County,Van Wert County,50974,1902
0400000US39,39,Ohio,0500000US39163,39163,Ohio - Vinton County,Vinton County,41541,3335
0400000US39,39,Ohio,0500000US39165,39165,Ohio - Warren County,Warren County,79397,2054
0400000US39,39,Ohio,0500000US39167,39167,Ohio - Washington County,Washington County,46021,1778
0400000US39,39,Ohio,0500000US39169,39169,Ohio - Wayne County,Wayne County,54037,1104
0400000US39,39,Ohio,0500000US39171,39171,Ohio - Williams County,Williams County,47593,1733
0400000US39,39,Ohio,0500000US39173,39173,Ohio - Wood County,Wood County,58033,1604
0400000US39,39,Ohio,0500000US39175,39175,Ohio - Wyandot County,Wyandot County,49767,2147
