DEATH,COUNTY,DEATHS
2015,Delaware,1069
2016,Delaware,1143
2017,Delaware,1165
2018,Delaware,1236
2019,Delaware,934
2007,Erie,857
2008,Erie,912
2009,Erie,845
2010,Erie,881
2011,Erie,915
2012,Erie,874
2013,Erie,930
2014,Erie,937
2015,Erie,956
2016,Erie,969
2017,Erie,1001
2018,Erie,954
2019,Erie,737
2007,Fairfield,1073
2008,Fairfield,1182
2009,Fairfield,1137
2010,Fairfield,1124
2011,Fairfield,1134
2012,Fairfield,1182
2013,Fairfield,1168
2014,Fairfield,1191
2015,Fairfield,1316
2016,Fairfield,1315
2017,Fairfield,1397
2018,Fairfield,1483
2019,Fairfield,1088
2007,Fayette,320
2008,Fayette,351
2009,Fayette,292
2010,Fayette,334
2011,Fayette,357
2012,Fayette,343
2013,Fayette,353
2014,Fayette,351
2015,Fayette,372
2016,Fayette,364
2017,Fayette,409
2018,Fayette,352
2019,Fayette,288
2007,Franklin,8125
2008,Franklin,8429
2009,Franklin,8401
2010,Franklin,8434
2011,Franklin,8575
2012,Franklin,8732
2013,Franklin,8881
2014,Franklin,9013
2015,Franklin,9636
2016,Franklin,9499
2017,Franklin,10035
2018,Franklin,10171
2019,Franklin,7350
2007,Fulton,372
2008,Fulton,388
2009,Fulton,377
2010,Fulton,397
2011,Fulton,373
2012,Fulton,380
2013,Fulton,428
2014,Fulton,413
2015,Fulton,397
2016,Fulton,406
2017,Fulton,482
2018,Fulton,443
2019,Fulton,321
2007,Gallia,335
2008,Gallia,324
2009,Gallia,339
2010,Gallia,343
2011,Gallia,345
2012,Gallia,355
2013,Gallia,367
2014,Gallia,374
2015,Gallia,358
2016,Gallia,396
2017,Gallia,394
2018,Gallia,436
2019,Gallia,272
2007,Geauga,709
2008,Geauga,739
2009,Geauga,702
2010,Geauga,752
2011,Geauga,756
2012,Geauga,777
2013,Geauga,777
2014,Geauga,792
2015,Geauga,865
2016,Geauga,881
2017,Geauga,887
2018,Geauga,864
2019,Geauga,661
2007,Greene,1187
2008,Greene,1277
2009,Greene,1272
2010,Greene,1268
2011,Greene,1316
2012,Greene,1359
2013,Greene,1332
2014,Greene,1434
2015,Greene,1472
2016,Greene,1448
2017,Greene,1531
2018,Greene,1545
2019,Greene,1238
2007,Guernsey,408
2008,Guernsey,433
2009,Guernsey,431
2010,Guernsey,449
2011,Guernsey,417
2012,Guernsey,435
2013,Guernsey,488
2014,Guernsey,453
2015,Guernsey,472
2016,Guernsey,474
2017,Guernsey,499
2018,Guernsey,479
2019,Guernsey,379
2007,Hamilton,7709
2008,Hamilton,7797
2009,Hamilton,7504
2010,Hamilton,7507
2011,Hamilton,7715
2012,Hamilton,7496
2013,Hamilton,7656
2014,Hamilton,8002
2015,Hamilton,8049
2016,Hamilton,7860
2017,Hamilton,8361
2018,Hamilton,8110
2019,Hamilton,5841
2007,Hancock,580
2008,Hancock,670
2009,Hancock,644
2010,Hancock,678
2011,Hancock,702
2012,Hancock,706
2013,Hancock,663
2014,Hancock,707
2015,Hancock,779
2016,Hancock,768
2017,Hancock,815
2018,Hancock,824
2019,Hancock,570
2007,Hardin,297
2008,Hardin,319
2009,Hardin,307
