Month_code,Birthplace_code,Delivery_method_code,Fetal_presentation_code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,1,3,1,1,27.59,2354.32,9.58,33.92,28.86,409
1,1,3,1,2,27.91,2532.86,9.8,35.03,29.03,432
1,1,3,1,3,28.27,2467.05,10.09,34.77,29.21,475
1,1,3,1,4,28.29,2653.13,10.26,35.61,28.93,722
1,1,3,1,5,28.14,2598.29,10.36,35.4,29.29,1127
1,1,3,1,6,28.35,2635.16,10.48,35.63,28.89,2080
1,1,3,1,7,28.68,2717.61,10.71,36.03,28.78,4314
1,1,3,1,8,28.77,3011.62,11.3,37.3,28.77,18603
1,1,3,1,9,29.12,3282.7,11.73,38.52,28.24,111324
1,1,3,1,10,28.23,3372.65,12.04,38.82,28.48,2192
1,1,3,1,99,29.6,2706.52,11.03,36.08,28.74,297
1,1,3,2,0,29.67,1358.8,5.16,28.86,29.15,21
1,1,3,2,1,28.73,1271.63,7.09,28.15,28.69,175
1,1,3,2,2,27.68,1620.8,8.38,30.31,28.11,140
1,1,3,2,3,28.17,1612.25,7.61,30.18,29.4,146
1,1,3,2,4,28.96,1652.42,7.9,30.33,28.49,202
1,1,3,2,5,29.48,1805.8,9.22,31.36,29.6,332
1,1,3,2,6,29.97,1760.43,8.85,31.18,28.27,566
1,1,3,2,7,29.36,1995.26,9.3,32.51,28.28,1175
1,1,3,2,8,29.68,2523.73,10.7,35.15,27.9,3972
1,1,3,2,9,29.93,2988.4,11.43,37.48,26.83,20710
1,1,3,3,0,26.71,1625.29,7.8,30.0,23.98,7
1,1,3,3,1,31.75,1826.75,9.25,30.95,27.52,20
1,1,3,3,2,26.07,1258.0,6.15,27.86,27.34,14
1,1,3,3,3,29.07,1985.79,9.48,31.81,26.27,28
1,1,3,3,4,27.61,2066.55,8.75,32.21,30.86,38
1,1,3,3,5,28.36,2334.7,8.48,33.48,29.12,44
1,1,3,3,6,28.66,2257.2,10.66,33.34,29.0,74
1,1,3,3,7,28.94,2484.29,10.24,34.78,28.25,187
1,1,3,3,8,29.05,2832.81,10.48,36.44,28.69,540
1,1,3,3,9,29.51,3130.62,11.52,38.0,28.16,2815
1,1,3,3,10,28.93,3413.5,11.62,38.88,29.13,72
1,1,3,3,99,28.33,1782.43,7.9,29.5,33.82,15
1,1,3,9,1,28.75,1876.88,11.0,34.0,28.87,8
1,1,3,9,2,24.6,2668.2,5.5,35.4,33.06,5
1,1,3,9,3,29.25,1621.25,3.0,31.0,24.6,4
1,1,3,9,4,23.0,2272.29,8.0,34.14,26.29,7
1,1,3,9,5,30.5,2844.12,10.12,36.25,31.25,8
1,1,3,9,6,28.08,2537.27,10.45,35.38,27.14,13
1,1,3,9,7,28.21,2717.45,11.33,36.64,29.71,33
1,1,3,9,8,28.27,2950.83,11.75,36.99,30.34,142
1,1,3,9,9,28.71,3192.1,11.88,38.11,28.35,879
1,1,3,9,10,25.24,3378.18,10.09,39.03,28.53,33
1,1,3,9,99,28.91,3157.0,14.33,36.36,29.57,11
1,1,4,1,0,30.29,2430.68,10.57,33.55,30.28,38
1,1,4,1,1,31.53,2154.18,9.39,32.52,28.54,116
1,1,4,1,2,30.6,2535.19,9.29,34.53,31.38,133
1,1,4,1,3,30.1,2599.26,9.93,34.7,31.04,173
1,1,4,1,4,30.99,2604.58,9.33,35.01,30.71,243
1,1,4,1,5,30.44,2777.43,9.93,35.44,30.4,380
1,1,4,1,6,30.66,2754.35,10.07,35.58,30.57,800
1,1,4,1,7,30.56,2921.93,10.38,36.28,30.58,2004
1,1,4,1,8,30.55,3192.92,10.92,37.6,29.81,12250
1,1,4,1,9,30.78,3338.26,11.18,38.39,28.96,98111
1,1,4,1,10,30.05,3381.72,11.36,38.6,29.03,2591
1,1,4,2,0,27.0,2041.5,4.5,29.5,27.3,2
1,1,4,2,1,31.0,1778.94,7.29,30.49,29.14,35
1,1,4,2,2,31.15,1681.91,9.35,30.82,30.53,33
1,1,4,2,3,30.86,1770.47,7.94,30.97,31.01,36
1,1,4,2,4,31.65,2051.28,9.67,31.84,32.66,43
1,1,4,2,5,31.86,1878.54,8.84,31.76,30.9,78
1,1,4,2,6,32.54,1982.54,8.72,31.91,30.47,145
1,1,4,2,7,31.32,2372.93,10.11,34.29,31.17,301
1,1,4,2,8,31.61,2664.32,10.48,35.39,30.75,1045
1,1,4,2,9,31.94,3055.31,11.37,37.37,29.2,4910
1,1,4,2,99,31.5,2120.47,9.14,32.31,29.59,16
1,1,4,3,0,28.67,3002.33,9.33,35.67,35.63,3
1,1,4,3,1,27.43,1084.43,5.0,26.86,32.63,7
1,1,4,3,2,30.17,1580.83,8.0,28.83,32.5,6
1,1,4,3,3,29.35,2088.65,7.5,33.25,30.01,20
1,1,4,3,4,29.91,2293.45,6.3,32.91,33.56,11
