Anesthesia_code,Anesthesia,Antibiotics_for_Mother_code,Antibiotics_for_Mother,Induction_of_Labor_Code,Induction_of_Labor,Steroids_Code,Steroids,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Interval_Since_Last_Live_Birth_months,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
2,No,2,No,9,Unknown or Not Stated,2,No,8,8,30,2854.12,46.57,36.75,6.38,36.38,25.07,8
2,No,2,No,9,Unknown or Not Stated,2,No,9,9,28.52,3259.44,32.71,38.3,8.78,37.78,29.28,27
2,No,2,No,9,Unknown or Not Stated,2,No,10,10,30.25,3428.75,95.67,37,7,39.5,22.52,4
2,No,2,No,9,Unknown or Not Stated,2,No,99,Unknown or Not Stated,18,2760,,36,0,36,23,1
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,0,0,26.66,2310.75,59,26.8,2,27,26.6,41
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,1,1,29.69,505,100.17,21.92,4.5,22.23,30.7,13
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,2,2,31.57,2257.57,52,31.14,7,31.43,32.4,7
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,3,3,24.5,1863.25,23,32.25,9,31,28.8,4
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,4,4,26.29,2798.29,48.25,36.43,6,35.86,28.23,7
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,5,5,30.4,2923.3,82.33,37.3,8.1,37,26.49,10
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,6,6,29.86,2989.57,25.5,37,7.6,38.17,31.76,7
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,7,7,30.34,2987.97,41.94,37.16,9.67,36.75,29.54,32
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,8,8,29.26,3016.74,49.54,37.61,10.31,37.32,27.59,126
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,9,29.22,3329.3,50.14,38.71,10.71,38.61,27.5,702
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,10,10,29.43,3445.4,45.15,39.4,9.33,39.34,24.75,68
9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,99,Unknown or Not Stated,29.28,2885.45,45.62,37.02,3.76,37.18,25.58,352
