Anesthesia_code,Anesthesia,Antibiotics_for_Mother_code,Antibiotics_for_Mother,Induction_of_Labor_Code,Induction_of_Labor,Steroids_Code,Steroids,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Interval_Since_Last_Live_Birth_months,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,Yes,1,Yes,1,Yes,2,No,4,4,28.11,3226.76,69.41,38.72,12.06,38.49,29.57,575
1,Yes,1,Yes,1,Yes,2,No,5,5,28.03,3221.31,63.08,38.55,12.03,38.35,29.88,1031
1,Yes,1,Yes,1,Yes,2,No,6,6,28.24,3223.07,61.03,38.56,12.04,38.34,29.64,2020
1,Yes,1,Yes,1,Yes,2,No,7,7,28.12,3245.01,61.44,38.56,11.97,38.39,29.38,4812
1,Yes,1,Yes,1,Yes,2,No,8,8,28.28,3297.88,57.91,38.77,11.98,38.61,29.13,23249
1,Yes,1,Yes,1,Yes,2,No,9,9,28.69,3346.45,53.98,39.1,12.05,38.97,28.42,193233
1,Yes,1,Yes,1,Yes,2,No,10,10,28,3371.82,50.1,39.13,12.1,39.01,28.67,3673
1,Yes,1,Yes,1,Yes,2,No,99,Unknown or Not Stated,28.65,3219.24,54.63,38.47,12.32,38.4,28.14,206
2,No,1,Yes,1,Yes,2,No,0,0,29.73,1697.62,52.2,24.55,6.45,24.64,30.87,11
2,No,1,Yes,1,Yes,2,No,1,1,28.93,1526.57,48.36,27.64,6.72,27.29,28.27,92
2,No,1,Yes,1,Yes,2,No,2,2,27.68,2154.73,54.12,31.55,7.74,31.53,29.43,47
2,No,1,Yes,1,Yes,2,No,3,3,28.8,2901.94,63.15,35.92,11.2,35.43,30.31,51
2,No,1,Yes,1,Yes,2,No,4,4,28.78,3004.98,57.78,37.65,12.51,37.02,31.19,49
2,No,1,Yes,1,Yes,2,No,5,5,28.01,3038.32,54.77,37.58,10.43,37.6,29.29,109
2,No,1,Yes,1,Yes,2,No,6,6,28.53,3169.22,58.53,38.13,11.5,37.89,30.67,244
2,No,1,Yes,1,Yes,2,No,7,7,28.9,3192.2,59.9,38.3,11.5,38.11,29.41,540
2,No,1,Yes,1,Yes,2,No,8,8,28.87,3284.34,54.76,38.74,11.58,38.59,29.38,3015
2,No,1,Yes,1,Yes,2,No,9,9,29.17,3301.08,53.5,39,11.69,38.88,28.53,25646
2,No,1,Yes,1,Yes,2,No,10,10,28.82,3300.27,49.62,39.02,11.56,38.9,28.19,594
2,No,1,Yes,1,Yes,2,No,99,Unknown or Not Stated,27.41,2892.47,51.25,35.84,10.1,35.47,31.51,32
1,Yes,2,No,1,Yes,2,No,0,0,29.29,3105.42,66.63,37.3,11.52,37.22,29.07,99
1,Yes,2,No,1,Yes,2,No,1,1,28.21,2402.07,52.6,33.77,9.72,33.58,27.94,614
1,Yes,2,No,1,Yes,2,No,2,2,27.94,3068,60.21,37.61,11.6,37.58,28.63,642
1,Yes,2,No,1,Yes,2,No,3,3,27.91,3168.21,63.83,38.4,11.79,38.3,28.84,736
1,Yes,2,No,1,Yes,2,No,4,4,28.03,3251.64,60.38,38.82,11.85,38.6,28.91,1133
1,Yes,2,No,1,Yes,2,No,5,5,27.98,3259.45,59.06,38.7,12.1,38.55,28.64,1993
1,Yes,2,No,1,Yes,2,No,6,6,28.08,3255.09,60.25,38.77,12.17,38.59,28.52,3863
1,Yes,2,No,1,Yes,2,No,7,7,28.19,3289.03,58.14,38.85,12.11,38.64,28.46,10253
1,Yes,2,No,1,Yes,2,No,8,8,28.09,3334.95,53.23,38.99,12.03,38.83,28.01,58660
1,Yes,2,No,1,Yes,2,No,9,9,28.67,3360.14,51.02,39.17,12.03,39.05,27.42,528456
1,Yes,2,No,1,Yes,2,No,10,10,27.87,3369.43,47.67,39.19,12.03,39.07,27.47,10958
1,Yes,2,No,1,Yes,2,No,99,Unknown or Not Stated,28.73,3221.11,53.13,38.39,11.62,38.32,27.42,449
2,No,2,No,1,Yes,2,No,0,0,30.46,1927.42,61.89,31.16,8.06,30.32,26.81,39
2,No,2,No,1,Yes,2,No,1,1,28.95,1359.57,49.54,26.77,6.88,26.51,29.8,250
2,No,2,No,1,Yes,2,No,2,2,28.78,2275.51,60.31,32.51,8.81,32.34,29.75,149
2,No,2,No,1,Yes,2,No,3,3,27.89,2872.05,58.62,36.83,10.57,36.62,28.76,159
2,No,2,No,1,Yes,2,No,4,4,29.36,3132.58,53.11,38.38,11.62,38.15,28.92,193
2,No,2,No,1,Yes,2,No,5,5,28.64,3181.89,52.82,38.46,11.74,38.27,29.07,370
2,No,2,No,1,Yes,2,No,6,6,28.1,3274.69,58.65,38.58,11.52,38.46,29.23,685
2,No,2,No,1,Yes,2,No,7,7,28.45,3261.18,55.32,38.67,11.79,38.52,28.73,1845
2,No,2,No,1,Yes,2,No,8,8,28.61,3333.01,52.69,39,11.74,38.87,28.14,11548
2,No,2,No,1,Yes,2,No,9,9,29.04,3344.91,52.21,39.18,11.81,39.08,27.6,99544
2,No,2,No,1,Yes,2,No,10,10,28.57,3381.5,47.21,39.32,11.69,39.17,27.65,2646
2,No,2,No,1,Yes,2,No,99,Unknown or Not Stated,29.23,3128.42,51.48,37.31,10.59,37.23,27.69,192
1,Yes,1,Yes,2,No,1,Yes,0,0,28.49,1375.88,44.4,28.74,5.85,28.83,26.63,35
1,Yes,1,Yes,2,No,1,Yes,1,1,28.57,1146.47,59.45,27.58,7.04,27.38,27.92,323
1,Yes,1,Yes,2,No,1,Yes,2,2,29.44,1193.33,54.64,27.74,7.8,27.66,29.3,261
1,Yes,1,Yes,2,No,1,Yes,3,3,28.71,1308.23,52.1,28.58,7.89,28.46,28.92,357
1,Yes,1,Yes,2,No,1,Yes,4,4,28.93,1483.6,55,29.66,8.59,29.37,28.45,488
1,Yes,1,Yes,2,No,1,Yes,5,5,29.18,1481.49,58.82,29.84,8.3,29.55,29.13,776
1,Yes,1,Yes,2,No,1,Yes,6,6,29.14,1585.73,56.29,30.37,8.43,30.08,28.63,1546
1,Yes,1,Yes,2,No,1,Yes,7,7,29.51,1683.25,56.96,31.05,8.72,30.73,28.68,3306
1,Yes,1,Yes,2,No,1,Yes,8,8,29.46,2011.25,55.65,32.87,9.46,32.55,28.02,9320
1,Yes,1,Yes,2,No,1,Yes,9,9,29.4,2389.27,53.7,34.79,10.16,34.48,27.43,25823
1,Yes,1,Yes,2,No,1,Yes,10,10,28.47,2524.74,48.45,35.51,10.35,35.24,26.2,259
1,Yes,1,Yes,2,No,1,Yes,99,Unknown or Not Stated,29.05,1653.03,61.83,31.68,9,31,29.22,93
2,No,1,Yes,2,No,1,Yes,0,0,27.8,1041.76,48.4,26.47,4.55,26.77,28.75,30
2,No,1,Yes,2,No,1,Yes,1,1,28.42,873.93,44.98,25.38,5.77,25.31,28.23,189
2,No,1,Yes,2,No,1,Yes,2,2,28.74,1076.49,58.89,26.7,5.59,26.47,28.11,127
2,No,1,Yes,2,No,1,Yes,3,3,28.39,1126.01,61.67,27.41,5.98,27.2,29.2,143
2,No,1,Yes,2,No,1,Yes,4,4,28.61,1312.75,57.93,27.86,6.49,27.85,29.24,217
2,No,1,Yes,2,No,1,Yes,5,5,28.44,1336.5,51.75,28.79,6.88,28.42,28.33,307
2,No,1,Yes,2,No,1,Yes,6,6,28.84,1411.89,57.2,29.14,6.94,28.84,27.75,565
2,No,1,Yes,2,No,1,Yes,7,7,28.95,1563.42,54.11,30.22,7.69,29.85,28.61,984
2,No,1,Yes,2,No,1,Yes,8,8,28.98,1890.65,53.84,32.07,8.04,31.73,27.56,2328
2,No,1,Yes,2,No,1,Yes,9,9,28.9,2328.83,53.24,34.32,8.79,34.03,26.79,5745
2,No,1,Yes,2,No,1,Yes,10,10,28.14,2551.47,46.74,34.91,9.47,35.03,26.82,74
2,No,1,Yes,2,No,1,Yes,99,Unknown or Not Stated,28.72,1555.05,53.89,29.19,8.09,28.84,29.6,43
1,Yes,2,No,2,No,1,Yes,0,0,29.42,1588.03,78.32,29.42,7.03,29,31.61,38
1,Yes,2,No,2,No,1,Yes,1,1,28.57,1320.46,47.34,28.27,7.72,28.29,28.45,201
1,Yes,2,No,2,No,1,Yes,2,2,29.66,1399.37,58.33,29.46,8.44,28.93,28.06,158
1,Yes,2,No,2,No,1,Yes,3,3,28.43,1538.97,61.43,30.13,8.09,29.72,29.1,206
1,Yes,2,No,2,No,1,Yes,4,4,29.57,1661.58,54.7,30.51,8.56,30.45,29.61,289
1,Yes,2,No,2,No,1,Yes,5,5,29.51,1631.87,53.75,30.96,8.85,30.46,29.72,545
1,Yes,2,No,2,No,1,Yes,6,6,29.64,1669.09,61.49,30.99,8.48,30.78,29.1,1125
1,Yes,2,No,2,No,1,Yes,7,7,29.89,1789.19,57.37,31.83,9.14,31.54,29.32,2324
1,Yes,2,No,2,No,1,Yes,8,8,29.81,2102.31,55.91,33.49,9.93,33.15,28.59,6799
1,Yes,2,No,2,No,1,Yes,9,9,29.54,2543.88,52.54,35.62,10.94,35.31,27.51,21308
1,Yes,2,No,2,No,1,Yes,10,10,28.7,2748.6,48.67,36.51,11.61,36.28,26.78,241
1,Yes,2,No,2,No,1,Yes,99,Unknown or Not Stated,29.94,1683.89,57.09,31.22,9.15,30.8,27.45,95
2,No,2,No,2,No,1,Yes,0,0,27.13,1255.6,39.06,27.77,6.96,27,27.32,31
2,No,2,No,2,No,1,Yes,1,1,30.12,955.7,50.91,26.18,6.46,25.99,29.92,178
2,No,2,No,2,No,1,Yes,2,2,29.03,1280.29,55.74,28.46,7.3,28.05,29.89,133
2,No,2,No,2,No,1,Yes,3,3,28.68,1347.99,60.06,29.33,7.83,28.73,29.31,190
2,No,2,No,2,No,1,Yes,4,4,29.95,1461.86,60.62,29.43,7.97,29.25,28.72,238
2,No,2,No,2,No,1,Yes,5,5,29.55,1467.93,57.47,30.02,7.72,29.6,28.88,381
2,No,2,No,2,No,1,Yes,6,6,30.13,1558.22,59.69,30.3,8.34,30.03,29.02,705
2,No,2,No,2,No,1,Yes,7,7,29.39,1690.26,51.98,31.17,8.31,30.81,28.63,1212
2,No,2,No,2,No,1,Yes,8,8,29.88,2009.75,55.75,32.98,9.36,32.63,28.5,3121
2,No,2,No,2,No,1,Yes,9,9,29.64,2479.53,52.41,35.3,10.25,35.02,27.64,8547
2,No,2,No,2,No,1,Yes,10,10,28.23,2729.96,45.55,36.56,11.38,36.38,26.03,127
