Anesthesia_code,Antibiotics_for_Mother_code,Induction_of_Labor_Code,Steroids_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,2,1,2,10,27.87,3369.43,39.19,12.03,39.07,27.47,10958
1,2,1,2,99,28.73,3221.11,38.39,11.62,38.32,27.42,449
2,2,1,2,0,30.46,1927.42,31.16,8.06,30.32,26.81,39
2,2,1,2,1,28.95,1359.57,26.77,6.88,26.51,29.8,250
2,2,1,2,2,28.78,2275.51,32.51,8.81,32.34,29.75,149
2,2,1,2,3,27.89,2872.05,36.83,10.57,36.62,28.76,159
2,2,1,2,4,29.36,3132.58,38.38,11.62,38.15,28.92,193
2,2,1,2,5,28.64,3181.89,38.46,11.74,38.27,29.07,370
2,2,1,2,6,28.1,3274.69,38.58,11.52,38.46,29.23,685
2,2,1,2,7,28.45,3261.18,38.67,11.79,38.52,28.73,1845
2,2,1,2,8,28.61,3333.01,39,11.74,38.87,28.14,11548
2,2,1,2,9,29.04,3344.91,39.18,11.81,39.08,27.6,99544
2,2,1,2,10,28.57,3381.5,39.32,11.69,39.17,27.65,2646
2,2,1,2,99,29.23,3128.42,37.31,10.59,37.23,27.69,192
1,1,2,1,0,28.49,1375.88,28.74,5.85,28.83,26.63,35
1,1,2,1,1,28.57,1146.47,27.58,7.04,27.38,27.92,323
1,1,2,1,2,29.44,1193.33,27.74,7.8,27.66,29.3,261
1,1,2,1,3,28.71,1308.23,28.58,7.89,28.46,28.92,357
1,1,2,1,4,28.93,1483.6,29.66,8.59,29.37,28.45,488
1,1,2,1,5,29.18,1481.49,29.84,8.3,29.55,29.13,776
1,1,2,1,6,29.14,1585.73,30.37,8.43,30.08,28.63,1546
1,1,2,1,7,29.51,1683.25,31.05,8.72,30.73,28.68,3306
1,1,2,1,8,29.46,2011.25,32.87,9.46,32.55,28.02,9320
1,1,2,1,9,29.4,2389.27,34.79,10.16,34.48,27.43,25823
1,1,2,1,10,28.47,2524.74,35.51,10.35,35.24,26.2,259
1,1,2,1,99,29.05,1653.03,31.68,9,31,29.22,93
2,1,2,1,0,27.8,1041.76,26.47,4.55,26.77,28.75,30
2,1,2,1,1,28.42,873.93,25.38,5.77,25.31,28.23,189
2,1,2,1,2,28.74,1076.49,26.7,5.59,26.47,28.11,127
2,1,2,1,3,28.39,1126.01,27.41,5.98,27.2,29.2,143
2,1,2,1,4,28.61,1312.75,27.86,6.49,27.85,29.24,217
2,1,2,1,5,28.44,1336.5,28.79,6.88,28.42,28.33,307
2,1,2,1,6,28.84,1411.89,29.14,6.94,28.84,27.75,565
2,1,2,1,7,28.95,1563.42,30.22,7.69,29.85,28.61,984
2,1,2,1,8,28.98,1890.65,32.07,8.04,31.73,27.56,2328
2,1,2,1,9,28.9,2328.83,34.32,8.79,34.03,26.79,5745
